University,thew_rank,arw_rank,cw_rank,thew_score,arw_score,cw_score
Harvard University,1,1,1,96.1,100.0,100.0
Stanford University,4,3,3,94.3,73.4,89.5
University of Cambridge,6,2,4,91.2,73.6,86.17
California Institute of Technology,2,6,5,96.0,67.1,85.21
Princeton University,5,8,6,94.2,60.9,82.5
"University of California, Berkeley",8,4,10,91.1,72.8,78.55
University of Oxford,6,10,7,91.2,59.7,82.34
Yale University,10,11,8,89.5,56.9,79.14
University of Chicago,12,9,11,86.9,60.1,73.82
Columbia University,18,7,9,81.0,62.3,78.86
Cornell University,14,12,12,83.9,54.6,73.69
"University of California, Los Angeles",11,14,19,87.7,50.6,64.05
University of Pennsylvania,19,15,13,79.5,50.2,73.64
"University of California, San Diego",32,13,20,73.2,51.0,63.11
University of Toronto,17,24,35,82.0,43.1,53.43
University College London,22,26,31,78.4,42.6,55.21
Duke University,24,32,27,76.5,37.7,58.37
Northwestern University,25,31,33,75.9,37.9,54.4
Kyoto University,57,22,17,64.6,43.8,65.76
"University of California, Santa Barbara",29,34,40,75.0,36.9,52.15
New York University,60,29,23,63.9,38.8,60.55
Carnegie Mellon University,20,54,43,79.3,30.8,51.6
University of North Carolina at Chapel Hill,30,55,36,73.8,30.3,53.09
University of British Columbia,30,37,67,73.8,35.4,47.74
"University of California, Davis",54,41,45,65.0,32.9,51.06
"University of California, Irvine",49,47,47,66.0,31.8,50.64
McGill University,35,67,41,71.7,28.4,51.72
Vanderbilt University,51,39,59,65.9,33.4,48.44
Karolinska Institute,43,45,70,67.0,32.1,47.61
University of Southern California,73,50,44,60.7,31.7,51.38
Rice University,47,78,57,66.9,26.2,48.76
Boston University,59,80,62,64.0,26.1,48.31
Brown University,55,86,66,64.9,25.4,47.91
Case Western Reserve University,65,69,78,62.2,28.3,46.11
"University of Maryland, College Park",98,47,68,57.2,31.8,47.69
University of Utah,83,93,38,59.0,24.6,52.64
University of Arizona,95,73,50,57.3,27.8,50.29
University of Bristol,68,64,98,61.4,28.8,43.77
University of Zurich,90,57,88,57.7,30.0,44.51
Tufts University,53,100,86,65.2,23.9,44.91
